ID,LABEL,Type,SubClass Of [NAMED],definition,has_obo_namespace,database_cross_reference,creation_date,created_by
obo:ID_GEO0000129,Malaysia,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000130,China,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000131,Hong Kong,Class,Eastern Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000132,Brunei,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000133,Macao,Class,Eastern Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000134,Cambodia,Class,South Eastern Asia,A Kingdom within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000135,South Korea,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000136,Japan,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000137,North Korea,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000138,Singapore,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000139,Mongolia,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000140,Christmas Island,Class,Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000141,Palestina,Class,Middle East|Western Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000142,Cyprus,Class,Middle East|Southern Europe,Cyprus is an island country in the Eastern Mediterranean.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000143,Greece,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000144,Estonia,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000145,Latvia,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000146,Lithuania,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000147,Svalbard and Jan Mayen,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000148,Svalbard,Class,Svalbard and Jan Mayen,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000149,Jan Mayen,Class,Svalbard and Jan Mayen,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000150,Moldova,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000151,Belarus,Class,Eastern Europe,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000152,Finland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000153,Åland,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000154,Ukraine,Class,Eastern Europe,"Ukraine is a sovereign state in Eastern Europe,[8] bordered by Russia to the east and northeast, Belarus to the northwest, Poland and Slovakia to the west, Hungary, Romania, and Moldova to the southwest, and the Black Sea and Sea of Azov to the south and southeast, respectively. [Wikipedia]",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000155,Macedonia,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000156,Hungary,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000157,Bulgaria,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000158,Albania,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000159,Poland,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000160,Romania,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000161,Kosovo,Class,Southern Europe,A Republic within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000162,Russia,Class,Eastern Europe,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000163,Portugal,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000164,Gibraltar,Class,Southern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000165,Spain,Class,Southern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000166,Malta,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000167,Faroe Islands,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000168,Denmark,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000169,Iceland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000170,United Kingdom,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000171,Switzerland,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000172,Sweden,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000173,Netherlands,Class,Western Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000174,Austria,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000175,Belgium,Class,Western Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000176,Germany,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000177,Luxembourg,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000178,Ireland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000179,Monaco,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000180,France,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000181,Andorra,Class,Southern Europe,A Principality within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000182,Liechtenstein,Class,Western Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000183,Jersey,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000184,Isle of Man,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000185,Guernsey,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000186,Slovakia,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000187,Czech Republic,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000188,Norway,Class,Northern Europe,A Kingdom within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000189,Vatican City,Class,Southern Europe,A State within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000190,San Marino,Class,Southern Europe,A Republic within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000191,Italy,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000192,Slovenia,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000193,Montenegro,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000194,Croatia,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000195,Bosnia and Herzegovina,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000196,Serbia,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000197,British Virgin Islands,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000198,Barbados,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000199,Saint Pierre and Miquelon,Class,North America|Northern America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000200,Greenland,Class,North America|Northern America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000201,Jamaica,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000202,Dominican Republic,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000203,Cuba,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000204,Martinique,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000205,Bahamas,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000206,Bermuda,Class,North America|Northern America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000207,Anguilla,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000208,Trinidad and Tobago,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000209,Saint Kitts and Nevis,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000210,Dominica,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000211,Antigua and Barbuda,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000212,Saint Lucia,Class,Caribbean|North America,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000213,Aruba,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000214,Saint Vincent and the Grenadines,Class,Caribbean|North America,A country within .,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000215,Saint-Martin,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000216,Saint-Barthélemy,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000217,Guadeloupe,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000218,Turks and Caicos Islands,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000219,Montserrat,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000220,Grenada,Class,Caribbean|North America,A island within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000221,Cayman Islands,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000222,Belize,Class,Central America|North America,A Republic within Central America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000223,El Salvador,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000224,Guatemala,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000225,Honduras,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000226,Nicaragua,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000227,Costa Rica,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000228,Panama,Class,Central America|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000229,Haiti,Class,Caribbean|North America,A Republic within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000230,Mexico,Class,Central America|North America,A country within Central America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000231,Puerto Rico,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000232,"Virgin Islands, U.S.",Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000233,Canada,Class,North America|Northern America,A country within North America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000234,United States,Class,North America|Northern America,A country within North America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000235,Sint Maarten,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000236,Curaçao,Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000237,"Bonaire, Sint Eustatius and Saba",Class,Caribbean|North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000238,Netherlands Antilles,Class,North America,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000239,Guyana,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000240,French Guiana,Class,South America,A French dependency in South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000241,Suriname,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000242,Paraguay,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000243,Uruguay,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000244,Brazil,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000245,Falkland Islands,Class,South America,A Dependency in the South Atlantic.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000246,Venezuela,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000247,Ecuador,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000248,Colombia,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000249,Argentina,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000250,Chile,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000251,Bolivia,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000252,Peru,Class,South America,A country within South America.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000253,Palau,Class,Micronesia,An island Republic in the Pacific Ocean.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000254,Cook Islands,Class,Polynesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000255,Timor-Leste,Class,Oceania|South Eastern Asia,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000256,Australia,Class,Australia and New Zealand,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000257,Marshall Islands,Class,Micronesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000258,Federated States of Micronesia,Class,Micronesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000259,Papua New Guinea,Class,Melanesia,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000260,Solomon Islands,Class,Melanesia,A country within Oceania.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000261,Tuvalu,Class,Polynesia,A country within Oceania.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000262,Nauru,Class,Micronesia,A country within Oceania.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000263,Vanuatu,Class,Melanesia,A country within .,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000264,New Caledonia,Class,Melanesia,Nouvelle-Caledonie.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000265,Norfolk Island,Class,Australia and New Zealand,Island.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000266,New Zealand,Class,Australia and New Zealand,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000267,Fiji,Class,Melanesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000268,French Polynesia,Class,Oceania,Polynesie Francaise.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000269,Pitcairn Islands,Class,Polynesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000270,Kiribati,Class,Micronesia,Gilbert Islands.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000271,Tokelau,Class,Polynesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000272,Tonga,Class,Polynesia,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000273,Wallis and Futuna,Class,Polynesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000274,Samoa,Class,Polynesia,A country within .,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000275,Niue,Class,Polynesia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000276,Northern Mariana Islands,Class,Oceania,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000277,Guam,Class,Micronesia,"Guam is a U.S. island territory in Micronesia, in the Western Pacific. [Wikipedia]",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000278,United States Minor Outlying Islands,Class,Oceania,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000279,American Samoa,Class,Oceania,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000280,French Southern Territories,Class,Antarctica,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0002000,Northern Cyprus,Class,Middle East|Southern Europe,,GeoNames,,,
oboInOwl:auto-generated-by,,Annotation property,,,,,,
oboInOwl:created_by,,Annotation property,,,,,,
oboInOwl:creation_date,,Annotation property,,,,,,
oboInOwl:date,,Annotation property,,,,,,
oboInOwl:default-namespace,,Annotation property,,,,,,
oboInOwl:hasDbXref,database_cross_reference,Annotation property,,,,,,
oboInOwl:hasOBOFormatVersion,has_obo_format_version,Annotation property,,,,,,
oboInOwl:hasOBONamespace,has_obo_namespace,Annotation property,,,,,,
oboInOwl:id,,Annotation property,,,,,,
oboInOwl:saved-by,,Annotation property,,,,,,
rdfs:label,,Annotation property,,,,,,
